feature_idx,count,frequency,top_tokens
0,0,0.000000,
1,0,0.000000,
2,0,0.000000,
3,0,0.000000,
4,0,0.000000,
5,0,0.000000,
6,0,0.000000,
7,0,0.000000,
8,0,0.000000,
9,0,0.000000,
10,0,0.000000,
11,0,0.000000,
12,0,0.000000,
13,0,0.000000,
14,0,0.000000,
15,0,0.000000,
16,56,0.000056,"' alternative'(33), ' alternate'(13), ' Alternative'(8), ' substitute'(1), ' preferred'(1)"
17,113,0.000113,' this'(113)
18,0,0.000000,
19,0,0.000000,
20,0,0.000000,
21,0,0.000000,
22,817,0.000817,"' the'(764), ' The'(53)"
23,0,0.000000,
24,0,0.000000,
25,0,0.000000,
26,0,0.000000,
27,0,0.000000,
28,0,0.000000,
29,0,0.000000,
30,211,0.000211,"' international'(106), ' International'(104), ' internationally'(1)"
31,0,0.000000,
32,0,0.000000,
33,0,0.000000,
34,0,0.000000,
35,0,0.000000,
36,0,0.000000,
37,0,0.000000,
38,0,0.000000,
39,0,0.000000,
40,0,0.000000,
41,0,0.000000,
42,0,0.000000,
43,0,0.000000,
44,0,0.000000,
45,18,0.000018,"' A'(5), ' Met'(3), ' Image'(2), ' An'(2), ' 5'(1)"
46,0,0.000000,
47,0,0.000000,
48,0,0.000000,
49,0,0.000000,
50,0,0.000000,
51,0,0.000000,
52,0,0.000000,
53,0,0.000000,
54,0,0.000000,
55,0,0.000000,
56,0,0.000000,
57,0,0.000000,
58,0,0.000000,
59,0,0.000000,
60,0,0.000000,
61,0,0.000000,
62,0,0.000000,
63,0,0.000000,
64,0,0.000000,
65,0,0.000000,
66,0,0.000000,
67,83,0.000083,"' majority'(73), ' minority'(10)"
68,0,0.000000,
69,0,0.000000,
70,0,0.000000,
71,0,0.000000,
72,0,0.000000,
73,0,0.000000,
74,0,0.000000,
75,0,0.000000,
76,0,0.000000,
77,0,0.000000,
78,0,0.000000,
79,0,0.000000,
80,0,0.000000,
81,1,0.000001,' slightly'(1)
82,0,0.000000,
83,0,0.000000,
84,29,0.000029,"' brand'(15), ' Brand'(12), ' brands'(2)"
85,0,0.000000,
86,0,0.000000,
87,0,0.000000,
88,0,0.000000,
89,0,0.000000,
90,0,0.000000,
91,102,0.000102,"' personal'(81), ' Personal'(20), ' personally'(1)"
92,0,0.000000,
93,6023,0.006023,"' \n'(2653), '.'(1156), '\n'(525), ' the'(360), ' ,'(322)"
94,400,0.000400,"' Nathan'(35), ' Nicole'(33), ' Somerset'(30), ' Jordan'(23), ' York'(17)"
95,0,0.000000,
96,0,0.000000,
97,0,0.000000,
98,0,0.000000,
99,0,0.000000,
100,0,0.000000,
101,0,0.000000,
102,0,0.000000,
103,384,0.000384,"' @'(114), "" '""(72), ' &'(60), ' \n'(22), ' ='(13)"
104,0,0.000000,
105,0,0.000000,
